Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451627282""",4,4.32,Scribner,Hardcover,849,2011,2011,2021/12/31,2021/02/20,,,read,,,,1,0
58898000,Kan de overheid crises aan?,H.D. Tjeenk Willink,"Willink, H.D. Tjeenk",,"=""""","=""9789044648522""",2,3.94,Uitgeverij Prometheus,Paperback,184,2021,,2021/11/06,2021/09/09,,,read,,,,1,0
57809564,Datamacht en Tegenkracht,Kathalijne Buitenweg,"Buitenweg, Kathalijne",,"=""""","=""9789403125213""",3,4.22,De Bezige Bij,Paperback,208,2021,,2021/10/27,2021/06/10,,,read,,,,1,0
38501,Ham on Rye,Charles Bukowski,"Bukowski, Charles",,"=""006117758X""","=""9780061177583""",3,4.15,Ecco,Paperback,288,2014,1982,2021/10/10,2021/07/03,,,read,,,,1,0
450534,When the Body Says No: The Cost of Hidden Stress,Gabor Maté,"Maté, Gabor",,"=""0676973124""","=""9780676973129""",3,4.28,Vintage Canada,Paperback,320,2004,2003,2021/08/09,2020/10/23,,,read,,,,1,0
807211,De vliegeraar,Khaled Hosseini,"Hosseini, Khaled",Miebeth van Horn,"=""9023418999""","=""9789023418993""",5,4.33,De Bezige Bij,Paperback,352,2007,2003,2021/07/30,2021/05/16,,,read,,,,1,0
3180325,De stad der blinden,José Saramago,"Saramago, José",Harrie Lemmens,"=""9029077255""","=""9789029077255""",4,4.16,Meulenhoff,Hardcover,304,2006,1995,2021/06/17,2021/04/16,,,read,,,,1,0
40220339,De digitale kooi,Arjan Widlak,"Widlak, Arjan",Rik Peeters,"=""""","=""9789462368132""",3,4.09,Boombestuurskunde,Paperback,149,2018,,2021/05/13,2021/02/22,,,read,,,,1,0
45892276,You're Not Listening: What You're Missing and Why It Matters,Kate   Murphy,"Murphy, Kate",,"=""1250297192""","=""9781250297198""",4,4.09,Celadon Books,Hardcover,278,2020,2020,2021/05/05,2020/12/25,,,read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",3,4.03,Viking,Hardcover,304,2020,2020,2021/04/22,2020/12/25,,,read,,,,1,0
56049058,Zo hadden we het niet bedoeld: De tragedie achter de toeslagenaffaire,Jesse Frederik,"Frederik, Jesse",,"=""""","=""9789083078915""",4,4.41,de Correspondent,Paperback,388,2021,2021,2021/04/02,2020/11/28,,,read,,,,1,0
71730,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,"Rosenberg, Marshall B.",Arun Gandhi,"=""1892005034""","=""9781892005038""",0,4.34,Puddledancer Press,Paperback,220,2003,1999,,2021/03/14,to-read,to-read (#3),to-read,,,,0,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",2,4.09,Dial Press,Paperback,275,1999,1969,2021/03/02,2020/12/09,,,read,,,,1,0
55358346,Ik weet je wachtwoord,Daniël Verlaan,"Verlaan, Daniël",,"=""""","=""9789493168060""",4,4.12,Das Mag Uitgeverij B.V.,Paperback,347,2020,2020,2021/01/23,2020/10/23,,,read,,,,1,0
41183951,Grip: Het geheim van slim werken,Rick Pastoor,"Pastoor, Rick",,"=""9082881209""","=""9789082881202""",3,4.13,Uitgeverij NZ,Paperback,256,2019,2019,2021/01/03,2020/11/23,,,read,,,,1,0
51641876,Het is oorlog maar niemand die het ziet,Huib Modderkolk,"Modderkolk, Huib",,"=""""","=""9789057599804""",4,4.27,Uitgeverij Podium,,256,2019,2019,2020/12/30,2019/11/11,,,read,,,,1,0
49127718,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""198216963X""","=""9781982169633""",0,4.19,Atria Books,Hardcover,336,2020,2019,,2020/12/25,to-read,to-read (#2),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake","Hilary Clarcq, Andy Weir","=""1101904224""","=""9781101904220""",4,4.13,Crown,Hardcover,352,2016,2016,2020/11/21,2020/07/29,,,read,,,,1,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas","David Chandler, Микола Климчук","=""""","=""""",2,3.95,Random House ,Hardcover,366,2007,2007,2020/11/06,2019/11/04,,,read,,,,1,0
53080213,Hoe dan?,Randall Munroe,"Munroe, Randall",,"=""9000361567""","=""9789000361564""",4,4.15,Spectrum,Paperback,320,2019,2019,2020/09/30,2020/09/08,,,read,,,,1,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",3,4.32,Orbit,Paperback,468,2015,2015,2020/09/26,2020/07/05,,,read,,,,1,0
