"MovieMeter id","IMDb code","titel","jaar","alternatieve titel","stem","geplaatst"
"43177","tt0454084","Blind Dating","2006","Blind Guy Dating","3","2010-11-30 21:59:18"
"38566","tt0450259","Blood Diamond","2006","","3.5","2012-10-19 00:54:40"
"894","tt0090756","Blue Velvet","1986","","3.5","2014-10-18 01:45:14"
"1115424","tt1727824","Bohemian Rhapsody","2018","","4","2018-12-31 00:31:57"
"151","tt0181984","Boiler Room","2000","","3.5","2010-05-16 22:30:36"
"38","tt0144117","Boondock Saints, The","1999","","3","2014-06-04 18:42:17"
"792","tt0082096","Boot, Das","1981","De Andere Kant van de Oorlog","4","2018-10-25 22:31:04"
"525072","tt3874544","Boss Baby, The","2017","","3","2017-07-14 01:42:05"
"2154","tt0258463","Bourne Identity, The","2002","","3","2012-04-14 22:32:39"
"86422","tt1194173","Bourne Legacy, The","2012","","3","2012-09-12 00:19:24"
"18086","tt0372183","Bourne Supremacy, The","2004","","2.5","2012-04-14 22:32:54"
"40700","tt0440963","Bourne Ultimatum, The","2007","","2","2012-04-14 22:33:31"
"5801","tt0310793","Bowling for Columbine","2002","","3.5","2010-08-15 22:21:54"
"47935","tt0362478","Box, The","2009","","2.5","2017-06-25 00:14:47"
"51985","tt0914798","Boy in the Striped Pyjamas, The","2008","The Boy in the Striped Pajamas","3","2011-10-10 16:00:52"
"234","tt0112573","Braveheart","1995","","4","2018-04-29 09:55:46"
"297","tt0088847","Breakfast Club, The","1985","","3.5","2018-11-08 22:00:27"
"69036","tt1478338","Bridesmaids","2011","","2.5","2012-03-31 01:13:06"
"127338","tt1895315","Brimstone","2016","Koolhoven's Brimstone","3.5","2019-04-21 23:45:03"
"29868","tt0388795","Brokeback Mountain","2005","","3","2014-07-28 14:23:57"
"2582","tt0015648","Bronenosets Potyomkin","1925","Battleship Potemkin","3","2012-02-09 16:05:32"
"7862","tt0315327","Bruce Almighty","2003","","3.5","2010-10-28 00:50:35"
"57086","tt0889583","Brüno","2009","","3.5","2009-07-10 13:21:24"
"44139","tt0825232","Bucket List, The","2007","","3.5","2011-01-10 14:24:26"
"332","tt0060196","Buono, il Brutto, il Cattivo, Il","1966","The Good, the Bad and the Ugly","4","2018-01-29 15:51:15"
"59611","tt1462758","Buried","2010","","3.5","2010-12-08 00:58:31"
"462780","tt5700672","Busanhaeng","2016","Train to Busan","4","2019-08-11 23:37:27"
"2073","tt0064115","Butch Cassidy and the Sundance Kid","1969","","3","2016-09-10 23:23:31"
"12109","tt0289879","Butterfly Effect, The","2004","","4","2010-09-05 21:53:19"
"493","tt0064116","C'era una Volta il West","1968","Once upon a Time in the West","4","2016-01-23 11:31:06"
"1199","tt0103905","C'est Arrivé près de chez Vous","1992","Man Bites Dog","2.5","2012-02-23 12:16:18"
"6203","tt0003740","Cabiria","1914","","2.5","2014-10-07 23:21:26"
"450","tt0115798","Cable Guy, The","1996","","3","2019-08-12 21:57:07"
"1126186","tt9243946","Camino: A Breaking Bad Movie, El","2019","","3.5","2019-10-11 23:48:18"
"94287","tt1535109","Captain Phillips","2013","","3.5","2014-02-08 15:45:27"
"809","tt0074285","Carrie","1976","","3.5","2017-10-28 18:09:49"
"247","tt0034583","Casablanca","1942","","2","2015-08-16 18:54:10"
"99","tt0162222","Cast Away","2000","","4","2009-03-14 23:52:39"
"2419","tt0264464","Catch Me If You Can","2002","","3.5","2014-04-28 00:59:32"
"57247","tt1242422","Celda 211","2009","Cell 211","4","2019-04-15 17:12:25"
"73578","tt1488555","Change-Up, The","2011","","3","2014-01-17 14:13:14"
"46714","tt0824747","Changeling","2008","","4","2014-09-14 22:58:13"
"102012","tt1823672","Chappie","2015","","3.5","2015-08-20 23:54:20"
"1839","tt0109402","Chase, The","1994","","4","2014-11-07 23:14:25"
"46681","tt0005078","Cheat, The","1915","","3","2014-10-17 23:23:11"
"1124259","tt7366338","Chernobyl","2019","","4.5","2020-01-02 17:34:52"
"3098","tt0082176","Christiane F. - Wir Kinder vom Bahnhof Zoo","1981","Christiane F.","3.5","2015-01-02 01:05:21"
"7959","tt0317248","Cidade de Deus","2002","City of God","3","2015-08-12 23:50:21"
"103635","tt3118452","Circle","2015","Kring","3","2017-06-13 22:59:31"
"181","tt0033467","Citizen Kane","1941","","2","2018-04-13 19:14:51"
"1537","tt0021749","City Lights","1931","","3.5","2017-11-30 22:25:04"
"58228","tt0800320","Clash of the Titans","2010","","2","2012-02-21 19:56:19"
"32779","tt0389860","Click","2006","","3.5","2019-05-03 22:29:29"
"254","tt0066921","Clockwork Orange, A","1971","","4","2011-03-29 16:49:01"
"54575","tt0844471","Cloudy with a Chance of Meatballs","2009","Het Regent Gehaktballen","3.5","2010-04-18 14:54:26"
"246785","tt2380307","Coco","2017","","4","2018-10-26 23:08:40"
"99529","tt2866360","Coherence","2013","","3.5","2018-04-20 00:31:11"
"69912","tt1657507","Colombiana","2011","","3","2011-10-01 09:44:43"
"88240","tt1457767","Conjuring, The","2013","","3.5","2019-12-23 21:45:23"
"235","tt0118884","Contact","1997","","2.5","2016-01-11 22:36:02"
"78156","tt1598778","Contagion","2011","","3.5","2011-10-31 11:22:42"
"620677","tt4857264","Contratiempo","2016","The Invisible Guest","4","2018-10-07 23:26:52"
"50949","tt1121931","Crank: High Voltage","2009","Crank 2","3.5","2009-11-29 19:43:39"
"20709","tt0375679","Crash","2004","","4.5","2014-06-28 01:42:55"
"45379","tt0455407","Crazies, The","2010","","3.5","2010-03-30 14:24:48"
"72696","tt1570728","Crazy, Stupid, Love.","2011","","3.5","2011-09-20 12:50:24"
"56783","tt1510691","Crips, Strapped 'n Strong","2009","Crips","3","2012-10-24 17:09:45"
"298","tt0123755","Cube","1997","","3.5","2016-04-16 19:44:06"
"45404","tt0421715","Curious Case of Benjamin Button, The","2008","","3.5","2010-10-25 13:56:16"
"30417","tt0382625","Da Vinci Code, The","2006","","3","2009-01-17 23:46:36"
"1002","tt0118928","Dante's Peak","1997","","3.5","2015-08-26 19:56:32"
"80594","tt1345836","Dark Knight Rises, The","2012","T.D.K.R.","3","2015-11-28 15:37:49"
"42666","tt0468569","Dark Knight, The","2008","","3","2010-11-14 03:52:07"
"61494","tt1279935","Date Night","2010","","3","2010-05-16 15:32:00"
"15561","tt0363547","Dawn of the Dead","2004","","3.5","2009-11-29 19:43:15"
"94387","tt2103281","Dawn of the Planet of the Apes","2014","","3.5","2019-01-27 01:24:07"
"1116807","tt7286916","Dawn Wall, The","2017","","3.5","2019-12-22 00:26:38"
"15998","tt0319262","Day after Tomorrow, The","2004","","3.5","2010-10-27 23:30:14"
"681","tt0116040","Daylight","1996","","3.5","2014-07-28 22:28:11"
"139555","tt1431045","Deadpool","2016","","3","2016-02-21 23:02:37"
"42840","tt1028528","Death Proof","2007","Grindhouse: Death Proof","3","2015-08-17 00:27:03"
"832","tt0149261","Deep Blue Sea","1999","","3.5","2014-07-28 22:27:06"
"315","tt0120647","Deep Impact","1998","","3","2008-07-21 22:42:53"
"251","tt0077416","Deer Hunter, The","1978","","4","2019-01-19 00:19:58"
"38081","tt0453467","Deja Vu","2006","Déjà Vu","3.5","2010-09-19 23:19:20"
"31480","tt0407887","Departed, The","2006","","3","2015-12-11 10:22:56"
"58983","tt1323594","Despicable Me","2010","Verschrikkelijke Ikke","3.5","2010-10-16 19:02:48"
"91513","tt1690953","Despicable Me 2","2013","Verschrikkelijke Ikke 2","3","2013-07-05 15:16:56"
"75772","tt1683526","Detachment","2011","","3.5","2012-09-30 01:10:05"
"68038","tt1314655","Devil","2010","","3","2010-09-27 22:33:51"
"82046","tt1645170","Dictator, The","2012","","3","2012-05-18 17:25:23"
"270","tt0095016","Die Hard","1988","","4","2014-08-04 23:10:52"
"272","tt0112864","Die Hard with a Vengeance","1995","Die Hard 3","3","2014-08-04 23:10:04"
"65016","tt0427152","Dinner for Schmucks","2010","","3","2010-09-18 01:33:07"
"76142","tt1433811","Disconnect","2012","","3.5","2017-08-10 19:25:43"
"57265","tt1136608","District 9","2009","","3.5","2009-10-18 15:05:27"
"83317","tt1853728","Django Unchained","2012","","4","2013-02-14 17:33:50"
"5101","tt0018839","Docks of New York, The","1928","","2","2014-10-21 23:57:23"
"712","tt0072890","Dog Day Afternoon","1975","","3.5","2014-07-29 23:19:09"
"408562","tt4160708","Don't Breathe","2016","","3","2020-02-21 21:20:40"
"457","tt0119008","Donnie Brasco","1997","","3","2014-11-16 16:04:51"
"2029","tt0246578","Donnie Darko","2001","","5","2010-05-18 17:12:06"
"1547","tt0036775","Double Indemnity","1944","Bloedgeld","3.5","2018-06-08 22:22:56"
"649","tt0057012","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","Dr. Strangelove","3.5","2014-11-06 00:10:19"
"71438","tt0780504","Drive","2011","","4","2013-03-26 11:23:43"
"64422","tt1502404","Drive Angry","2011","Drive Angry 3D","3.5","2011-03-01 00:31:25"
"62253","tt1231583","Due Date","2010","","3.5","2010-11-11 22:23:32"
"925","tt0067023","Duel","1971","","3.5","2011-03-26 00:17:40"
"97709","tt2096672","Dumb and Dumber To","2014","","3","2014-11-29 00:57:38"
"532954","tt5013056","Dunkirk","2017","","3.5","2017-08-07 05:56:50"
"65253","tt1282140","Easy A","2010","","2","2014-12-18 22:56:58"
"367","tt0064276","Easy Rider","1969","","2.5","2012-03-05 14:34:11"
"92113","tt1631867","Edge of Tomorrow","2014","Live Die Repeat: Edge of Tomorrow","4","2014-06-10 19:43:49"
"635","tt0131369","Edtv","1999","","3","2008-08-01 14:30:47"
"686","tt0099487","Edward Scissorhands","1990","","4","2012-07-23 15:13:35"
"2433","tt0271367","Eight Legged Freaks","2002","Arac Attack","3.5","2010-09-03 23:09:16"
"2132","tt0080678","Elephant Man, The","1980","","3.5","2018-01-23 15:40:39"
"87117","tt1535108","Elysium","2013","","4","2013-08-18 03:54:02"
"79377","tt1855199","End of Watch","2012","","3.5","2012-10-24 23:28:30"
"92666","tt2316411","Enemy","2013","","4","2017-10-01 10:12:20"
"6324","tt0238380","Equilibrium","2002","","3","2016-05-29 18:55:07"
"159491","tt4176826","Er Ist Wieder Da","2015","Look Who's Back","3.5","2016-06-05 13:34:08"
"590","tt0079116","Escape from Alcatraz","1979","","4","2014-07-28 14:26:13"
"12354","tt0338013","Eternal Sunshine of the Spotless Mind","2004","","3.5","2010-10-17 01:17:22"
"17370","tt0356150","EuroTrip","2004","","3.5","2011-03-29 19:44:41"
"1129823","tt8580274","Eurovision Song Contest: The Story of Fire Saga","2020","","3.5","2020-10-16 21:34:47"
"38025","tt0413099","Evan Almighty","2007","","2","2012-03-02 22:31:25"
"98345","tt2719848","Everest","2015","","3.5","2015-10-17 15:31:45"
"98608","tt0470752","Ex Machina","2014","","4","2016-10-10 21:33:28"
"61981","tt1258197","Exam","2009","","3.5","2016-02-20 13:52:58"
"79882","tt1764651","Expendables 2, The","2012","EX2","3","2012-09-06 22:51:23"
"56647","tt1320253","Expendables, The","2010","","2","2010-11-21 03:08:20"
"2380","tt0250258","Experiment, Das","2001","The Experiment","4","2012-09-20 22:39:20"
"1375","tt0211915","Fabuleux Destin d'Amélie Poulain, Le","2001","Amélie","2.5","2012-06-06 13:49:20"
"291","tt0119094","Face/Off","1997","Face Off","3.5","2019-08-15 23:40:08"
"5004","tt0060390","Fahrenheit 451","1966","","3","2012-02-22 16:24:28"
"46798","tt0460791","Fall, The","2006","","3","2018-04-06 22:51:01"
"2459","tt0032455","Fantasia","1940","Walt Disney's Fantasia","4","2014-07-28 22:22:43"
"195","tt0116282","Fargo","1996","","3.5","2013-07-14 00:02:16"
"72540","tt1596343","Fast Five","2011","The Fast and the Furious 5","3","2011-06-02 01:48:01"
"1111118","tt4630562","Fate of the Furious, The","2017","Fast & Furious 8","3.5","2017-04-21 11:56:43"
"669","tt0120669","Fear and Loathing in Las Vegas","1998","","2.5","2011-02-02 00:58:22"
"661","tt0091042","Ferris Bueller's Day Off","1986","Ferris Bueller's Baaldag","3.5","2014-12-23 12:24:17"
"325","tt0154420","Festen","1998","The Celebration","3.5","2012-02-21 22:53:14"
"175","tt0137523","Fight Club","1999","","3.5","2014-07-11 00:35:13"
"60215","tt0964517","Fighter, The","2010","","3","2012-01-22 22:47:08"
"54716","tt1144884","Final Destination, The","2009","Final Destination 4","2.5","2009-09-19 11:24:16"
"2016","tt0154506","Following","1998","","3","2011-05-16 16:48:10"
"1125116","tt1950186","Ford v Ferrari","2019","Le Mans '66","3.5","2019-11-16 00:30:32"
"28121","tt0414993","Fountain, The","2006","","2.5","2014-06-10 23:03:06"
"40753","tt0488120","Fracture","2007","","3.5","2018-01-21 10:36:21"
"1121269","tt7775622","Free Solo","2018","","3.5","2019-11-09 22:04:13"
"3","tt0186151","Frequency","2000","","3.5","2015-10-24 22:50:19"
"202","tt0116367","From Dusk till Dawn","1996","","3.5","2009-11-18 18:19:50"
"53977","tt1179034","From Paris with Love","2010","","3","2010-03-31 21:01:47"
"92952","tt2294629","Frozen","2013","","3","2019-11-23 22:55:32"
"250","tt0093058","Full Metal Jacket","1987","","3.5","2012-06-08 00:39:13"
"90885","tt1905041","Furious 6","2013","Fast & Furious 6","3","2013-05-31 00:48:20"
"101345","tt2820852","Furious Seven","2015","Fast & Furious 7","3.5","2015-05-03 20:16:27"
"236","tt0119174","Game, The","1997","","4","2013-07-13 18:34:42"
"80370","tt1321870","Gangster Squad","2013","","3.5","2013-02-05 17:34:25"
"19120","tt0333766","Garden State","2004","","3","2014-01-17 14:13:47"
"1580","tt0017925","General, The","1926","De Generaal","3.5","2018-01-25 15:30:04"
"56507","tt1194263","Get Low","2009","","2.5","2018-08-26 00:22:16"
"769612","tt5052448","Get Out","2017","","4","2019-08-13 21:31:19"
"66561","tt1567609","Get the Gringo","2012","How I Spent My Summer Vacation","3","2012-06-26 01:37:40"
"1767","tt0162346","Ghost World","2001","","3","2015-05-01 00:05:07"
"104025","tt4178092","Gift, The","2015","","3.5","2020-02-15 23:08:38"
"77135","tt1568346","Girl with the Dragon Tattoo, The","2011","","3.5","2012-02-18 10:11:15"
"1121972","tt6751668","Gisaengchung","2019","Parasite","4","2020-02-09 19:31:44"
"56","tt0172495","Gladiator","2000","","4","2016-04-16 19:43:47"
"78626","tt1912398","God Bless America","2011","","2","2012-09-05 00:36:27"
"320","tt0068646","Godfather, The","1972","Mario Puzo's The Godfather","3.5","2015-10-25 21:40:39"
"321","tt0071562","Godfather: Part II, The","1974","Mario Puzo's The Godfather: Part II","2.5","2015-11-09 20:08:26"
"322","tt0099674","Godfather: Part III, The","1990","The Godfather, Coda: The Death of Michael Corleone","2.5","2015-11-23 22:11:03"
"2487","tt0015864","Gold Rush, The","1925","","3","2018-01-16 18:41:29"
"96878","tt2267998","Gone Girl","2014","","4","2014-10-15 00:44:08"
"68","tt0187078","Gone in Sixty Seconds","2000","Gone in 60 Seconds","3","2009-07-08 23:40:49"
"88491","tt1606378","Good Day to Die Hard, A","2013","Die Hard 5","2","2013-02-20 23:21:09"
"194","tt0119217","Good Will Hunting","1997","","3.5","2014-09-21 00:11:45"
"292","tt0099685","Goodfellas","1990","GoodFellas","3","2017-01-03 23:51:35"
"53238","tt1205489","Gran Torino","2008","","4","2014-08-10 01:00:05"
"33796","tt0456554","Grandma's Boy","2006","","1.5","2010-08-31 23:16:17"
"87558","tt1454468","Gravity","2013","","4","2014-01-17 14:11:42"
"2435","tt0032553","Great Dictator, The","1940","De Dictator","2","2014-07-28 22:18:39"
"81622","tt1343092","Great Gatsby, The","2013","","3","2013-06-03 23:18:41"
"1121092","tt6966692","Green Book","2018","","3.5","2020-05-23 00:46:32"
"60011","tt0990407","Green Hornet, The","2011","","3.5","2011-01-18 23:59:26"
"260","tt0107048","Groundhog Day","1993","","4.5","2015-05-05 16:43:35"
"61551","tt1375670","Grown Ups","2010","","3","2010-10-09 17:18:55"
"91685","tt2191701","Grown Ups 2","2013","","2","2013-07-24 16:30:45"
"66810","tt1320261","Gulliver's Travels","2010","","2.5","2011-08-16 02:40:44"
"47522","tt1028532","Hachi: A Dog's Tale","2009","Hachiko: A Dog's Story","3.5","2013-05-02 00:31:54"
"235590","tt2119532","Hacksaw Ridge","2016","","4","2017-10-15 11:10:15"
"2272","tt0113247","Haine, La","1995","Hate","3","2014-09-05 21:38:26"
"46120","tt0448157","Hancock","2008","","3.5","2017-11-13 21:04:05"
"72141","tt1411697","Hangover Part II, The","2011","","3.5","2011-05-27 00:31:33"
"92117","tt1951261","Hangover Part III, The","2013","","3","2013-07-15 20:54:30"
"54691","tt1119646","Hangover, The","2009","","3.5","2009-06-23 22:19:34"
"240","tt0147612","Happiness","1998","","4","2014-10-03 23:59:32"
"1114227","tt5308322","Happy Death Day","2017","","3","2018-03-02 21:11:16"
"28993","tt0424136","Hard Candy","2005","","2.5","2015-03-15 00:53:13"
"44249","tt0481536","Harold & Kumar Escape from Guantanamo Bay","2008","","3.5","2010-09-21 00:41:57"
"19662","tt0366551","Harold & Kumar Go to White Castle","2004","Harold & Kumar Get the Munchies","3.5","2010-09-06 00:14:01"
"61974","tt0926084","Harry Potter and the Deathly Hallows: Part 1","2010","The Deathly Hallows","3.5","2010-11-25 00:35:07"
"66863","tt1201607","Harry Potter and the Deathly Hallows: Part 2","2011","Harry Potter en de Relieken van de Dood: Deel 2","3.5","2011-08-15 00:17:17"
"102362","tt3460252","Hateful Eight, The","2015","The Hateful 8","3.5","2017-10-29 18:05:28"
"11583","tt0347149","Hauru no Ugoku Shiro","2004","Howl's Moving Castle","3.5","2020-05-04 23:30:58"
"31644","tt0009150","Hearts of the World","1918","Love's Struggle","3.5","2014-10-17 00:10:04"
"237","tt0113277","Heat","1995","","2.5","2014-03-09 01:16:48"
"95355","tt1798709","Her","2013","","3.5","2015-08-21 23:42:27"
"505132","tt1959563","Hitman's Bodyguard, The","2017","","2.5","2018-10-21 10:56:48"
"73863","tt1614989","Hodejegerne","2011","Headhunters","4","2020-04-26 23:15:08"
"1162","tt0099785","Home Alone","1990","","3.5","2009-12-26 00:43:12"
"72227","tt1499658","Horrible Bosses","2011","","3","2014-05-17 19:56:14"
"31035","tt0450278","Hostel","2005","","3","2009-01-04 00:03:51"
"38181","tt0425112","Hot Fuzz","2007","","3","2011-02-19 01:45:49"
"59174","tt1231587","Hot Tub Time Machine","2010","","3","2010-08-16 23:50:00"
"4443","tt0095327","Hotaru no Haka","1988","Grave of the Fireflies","3.5","2019-06-21 22:35:37"
"1112269","tt5461944","Hotel Mumbai","2018","","4","2019-05-24 22:25:11"
"52147","tt0892769","How to Train Your Dragon","2010","Hoe Tem Je een Draak","3.5","2016-01-17 19:11:06"
"78254","tt1392170","Hunger Games, The","2012","","3","2012-04-08 16:22:31"
"39617","tt0480249","I Am Legend","2007","","3.5","2008-08-01 14:23:22"
"70479","tt1464540","I Am Number Four","2011","","2.5","2011-03-13 20:07:56"
"51018","tt1045772","I Love You Phillip Morris","2009","","2.5","2010-05-23 18:35:21"
"97116","tt2884206","I Origins","2014","","3.5","2017-08-05 17:07:06"
"18222","tt0343818","I, Robot","2004","","3.5","2010-12-03 01:13:54"
"1221","tt0119349","Ice Storm, The","1997","Ice Storm","3.5","2015-05-25 10:59:11"
"88516","tt2024432","Identity Thief","2013","","2.5","2013-05-29 23:13:14"
"78251","tt1124035","Ides of March, The","2011","","3","2014-01-28 02:15:12"
"97636","tt2084970","Imitation Game, The","2014","","4","2015-02-02 22:55:08"
"81404","tt1966604","Imposter, The","2012","","3.5","2015-12-31 00:10:48"
"42802","tt0780536","In Bruges","2008","","3.5","2014-05-04 00:23:58"
"438","tt0107207","In the Name of the Father","1993","","4","2015-08-19 00:15:27"
"75622","tt1637688","In Time","2011","","3.5","2014-04-28 22:49:06"
"68905","tt1255953","Incendies","2010","","3.5","2018-04-10 17:23:05"
"59666","tt1375666","Inception","2010","","4.5","2010-10-17 01:41:32"
"312","tt0116629","Independence Day","1996","","4","2008-07-05 19:27:09"
"319","tt0097576","Indiana Jones and the Last Crusade","1989","","3.5","2018-05-21 12:08:07"
"296883","tt3062096","Inferno","2016","","3.5","2016-11-04 22:46:17"
"53273","tt0361748","Inglourious Basterds","2009","","3","2012-02-26 16:05:55"
